match_id,date,season,team,opponent,home,corners,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
M2012050,2012-10-21,2012,team_03,team_16,1,3,0.663,0.588,0.938,0.526,0.435,0.675,0.385,0.234,0.811,0.518
M2012050,2012-10-21,2012,team_16,team_03,0,5,0.713,0.232,0.857,0.638,0.458,0.438,0.297,0.234,0.636,0.651
M2012051,2012-10-21,2012,team_03,team_17,1,6,0.663,0.603,0.869,0.573,0.315,0.423,0.157,0.682,0.596,0.635
M2012051,2012-10-21,2012,team_17,team_03,0,10,0.693,0.288,0.379,0.82,0.514,0.528,0.073,0.435,0.704,1.015
M2012052,2012-10-22,2012,team_03,team_18,1,3,0.545,0.682,0.872,0.656,0.324,0.226,0.478,0.209,0.558,0.631
M2012052,2012-10-22,2012,team_18,team_03,0,6,0.638,0.505,0.531,0.651,0.718,0.352,0.174,0.466,0.52,-0.033
M2012053,2012-10-23,2012,team_03,team_19,1,13,0.567,0.555,0.946,0.644,0.436,0.305,0.678,0.701,0.395,0.513
M2012053,2012-10-23,2012,team_19,team_03,0,3,0.335,0.392,0.51,0.574,0.405,0.68,0.363,0.4,0.431,0.588
M2012054,2012-10-24,2012,team_03,team_20,1,16,0.699,0.561,0.944,0.528,0.401,0.383,0.643,0.622,0.503,0.597
M2012054,2012-10-24,2012,team_20,team_03,0,4,0.362,0.566,0.224,0.469,0.242,0.559,0.474,0.317,0.353,0.765
M2012055,2012-10-25,2012,team_04,team_05,1,14,0.476,0.3,0.382,0.894,0.163,0.479,0.02,0.676,0.42,0.679
M2012055,2012-10-25,2012,team_05,team_04,0,4,0.736,0.598,0.408,0.705,0.39,0.331,0.379,0.438,0.776,0.665
M2012056,2012-10-25,2012,team_04,team_06,1,3,0.412,0.248,0.483,0.815,0.419,0.623,0.297,0.356,0.388,0.328
M2012056,2012-10-25,2012,team_06,team_04,0,2,0.616,0.845,0.139,0.067,0.667,0.554,0.648,0.089,0.292,0.437
M2012057,2012-10-25,2012,team_04,team_07,1,4,0.661,0.242,0.432,0.775,0.244,0.653,0.13,0.474,0.29,0.599
M2012057,2012-10-25,2012,team_07,team_04,0,3,0.388,0.469,0.234,0.81,0.379,0.973,0.027,0.294,0.273,0.838
M2012058,2012-10-25,2012,team_04,team_08,1,10,0.715,0.254,0.477,0.738,-0.034,0.35,0.092,0.802,0.637,0.46
M2012058,2012-10-25,2012,team_08,team_04,0,2,0.462,0.549,0.431,0.191,0.083,0.808,0.477,0.172,0.49,0.065
M2012059,2012-10-27,2012,team_04,team_09,1,7,0.441,0.398,0.382,0.734,0.26,0.459,0.448,0.362,0.661,0.524
M2012059,2012-10-27,2012,team_09,team_04,0,3,0.756,0.641,0.555,0.459,0.602,0.871,0.084,0.47,0.38,0.232
M2012060,2012-10-27,2012,team_04,team_10,1,3,0.544,0.426,0.445,0.684,0.09,0.484,0.014,0.482,0.55,0.563
M2012060,2012-10-27,2012,team_10,team_04,0,3,0.655,0.635,0.936,0.713,0.158,-0.007,0.368,0.374,0.213,0.597
M2012061,2012-10-28,2012,team_04,team_11,1,5,0.605,0.257,0.387,0.749,0.287,0.609,0.389,0.541,0.426,0.55
M2012061,2012-10-28,2012,team_11,team_04,0,4,0.871,0.512,0.58,0.669,0.582,0.51,0.398,0.247,0.497,0.475
M2012062,2012-10-28,2012,team_04,team_12,1,6,0.812,0.346,0.299,0.866,0.114,0.274,0.048,0.408,0.448,0.44
M2012062,2012-10-28,2012,team_12,team_04,0,4,0.465,0.542,0.579,0.304,0.689,0.23,0.144,0.495,0.409,0.502
M2012063,2012-10-28,2012,team_04,team_13,1,8,0.765,0.313,0.294,0.855,0.353,0.147,0.048,0.456,0.597,0.493
M2012063,2012-10-28,2012,team_13,team_04,0,10,0.969,0.51,0.384,0.515,0.543,0.69,0.379,0.44,0.583,0.55
M2012064,2012-10-29,2012,team_04,team_14,1,5,0.665,0.248,0.485,0.943,0.219,0.38,0.172,0.492,0.399,0.505
M2012064,2012-10-29,2012,team_14,team_04,0,0,0.997,0.473,0.182,0.58,0.459,0.756,0.29,0.311,0.821,0.693
M2012065,2012-11-04,2012,team_04,team_15,1,3,0.835,0.452,0.412,0.956,0.213,0.511,0.1,0.448,0.746,0.451
M2012065,2012-11-04,2012,team_15,team_04,0,5,0.034,0.614,0.516,0.799,0.45,0.935,0.288,0.306,1.034,0.763
M2012066,2012-11-04,2012,team_04,team_16,1,7,0.618,0.336,0.26,0.647,0.432,0.498,0.323,0.416,0.489,0.497
M2012066,2012-11-04,2012,team_16,team_04,0,5,0.882,0.459,0.68,0.582,0.301,0.207,0.192,0.42,0.307,0.813
M2012067,2012-11-06,2012,team_04,team_17,1,5,0.545,0.243,0.561,0.897,0.293,0.502,0.261,0.348,0.265,0.519
M2012067,2012-11-06,2012,team_17,team_04,0,1,0.848,0.36,0.422,0.869,0.53,0.331,-0.198,0.535,0.367,1.053
M2012068,2012-11-09,2012,team_04,team_18,1,4,0.584,0.299,0.503,0.8,0.319,0.521,0.55,0.19,0.583,0.303
M2012068,2012-11-09,2012,team_18,team_04,0,4,0.363,0.684,0.609,0.695,0.434,0.671,0.119,0.452,0.575,0.197
M2012069,2012-11-12,2012,team_04,team_19,1,1,0.559,0.219,0.339,0.776,0.087,0.377,0.262,0.291,0.303,0.46
M2012069,2012-11-12,2012,team_19,team_04,0,11,0.366,0.285,0.773,0.462,0.435,0.632,0.154,0.678,0.456,0.637
M2012070,2012-11-12,2012,team_04,team_20,1,5,0.69,0.14,0.297,0.88,0.463,0.549,0.127,0.539,0.412,0.512
M2012070,2012-11-12,2012,team_20,team_04,0,2,0.518,0.459,0.375,0.59,0.699,0.672,0.188,0.302,0.276,0.619
M2012071,2012-11-16,2012,team_05,team_06,1,7,0.456,0.639,0.379,0.877,0.357,0.66,0.327,0.488,0.672,0.444
M2012071,2012-11-16,2012,team_06,team_05,0,11,0.698,0.837,0.207,0.065,0.708,0.803,0.178,0.622,0.36,0.469
M2012072,2012-11-17,2012,team_05,team_07,1,16,0.536,0.572,0.298,0.663,0.471,0.599,0.587,0.711,0.736,0.375
M2012072,2012-11-17,2012,team_07,team_05,0,1,0.544,0.38,0.28,0.707,0.513,0.802,0.157,0.436,0.133,0.701
M2012073,2012-11-18,2012,team_05,team_08,1,15,0.425,0.733,0.324,0.896,0.512,0.259,0.356,0.72,0.89,0.411
M2012073,2012-11-18,2012,team_08,team_05,0,12,0.331,0.406,0.4,0.082,0.037,0.643,0.282,0.614,0.488,0.202
M2012074,2012-11-19,2012,team_05,team_09,1,4,0.368,0.45,0.475,0.697,0.58,0.339,0.445,0.206,0.648,0.634
M2012074,2012-11-19,2012,team_09,team_05,0,3,0.779,0.448,0.383,0.372,0.715,0.735,0.132,0.654,0.654,0.46
M2012075,2012-11-19,2012,team_05,team_10,1,10,0.488,0.833,0.373,0.77,0.401,0.421,0.399,0.576,0.87,0.305
M2012075,2012-11-19,2012,team_10,team_05,0,5,0.501,0.583,0.705,0.606,0.448,0.162,0.075,0.502,0.613,0.397
M2012076,2012-11-23,2012,team_05,team_11,1,8,0.528,0.669,0.501,0.83,0.487,0.306,0.471,0.193,0.593,0.343
M2012076,2012-11-23,2012,team_11,team_05,0,3,0.525,0.511,0.699,0.504,0.567,0.561,0.242,0.471,0.512,0.673
M2012077,2012-11-24,2012,team_05,team_12,1,2,0.738,0.542,0.392,0.786,0.741,0.544,0.821,0.266,0.475,0.428
M2012077,2012-11-24,2012,team_12,team_05,0,3,0.376,0.52,0.367,0.227,0.814,0.102,-0.13,0.631,0.584,0.69
M2012078,2012-11-25,2012,team_05,team_13,1,10,0.754,0.589,0.408,0.558,0.493,0.352,0.729,0.631,0.715,0.435
M2012078,2012-11-25,2012,team_13,team_05,0,5,0.727,0.539,0.544,0.43,0.81,0.778,0.332,0.42,0.557,0.517
M2012079,2012-11-26,2012,team_05,team_14,1,11,0.508,0.57,0.269,0.743,0.516,0.63,0.652,0.648,0.845,0.548
M2012079,2012-11-26,2012,team_14,team_05,0,0,0.976,0.186,0.19,0.596,0.298,0.836,0.336,0.437,0.628,0.716
M2012080,2012-11-28,2012,team_05,team_15,1,7,0.412,0.664,0.245,0.857,0.6,0.383,0.209,0.458,0.814,0.549
M2012080,2012-11-28,2012,team_15,team_05,0,0,0.032,0.439,0.516,0.968,0.331,1.01,0.416,0.15,1.02,0.619
M2012081,2012-11-29,2012,team_05,team_16,1,16,0.373,0.671,0.393,0.863,0.381,0.199,0.691,0.508,0.695,0.307
M2012081,2012-11-29,2012,team_16,team_05,0,6,0.725,0.311,0.9,0.533,0.495,0.489,0.226,0.386,0.354,0.783
M2012082,2012-11-29,2012,team_05,team_17,1,12,0.384,0.518,0.347,0.685,0.664,0.451,0.565,0.495,0.806,0.244
M2012082,2012-11-29,2012,team_17,team_05,0,4,0.449,0.415,0.554,0.742,0.462,0.537,-0.341,0.396,0.433,1.013
M2012083,2012-11-30,2012,team_05,team_18,1,8,0.5,0.426,0.343,0.913,0.477,0.424,0.773,0.39,0.658,0.425
M2012083,2012-11-30,2012,team_18,team_05,0,6,0.37,0.591,0.44,0.462,0.645,0.65,0.575,0.746,0.58,0.146
M2012084,2012-11-30,2012,team_05,team_19,1,7,0.593,0.406,0.406,0.864,0.75,0.276,0.419,0.236,0.838,0.441
M2012084,2012-11-30,2012,team_19,team_05,0,4,0.3,0.319,0.602,0.624,0.402,0.254,0.29,0.389,0.256,0.567
M2012085,2012-12-01,2012,team_05,team_20,1,10,0.655,0.535,0.312,0.787,0.613,0.568,0.445,0.722,0.918,0.295
M2012085,2012-12-01,2012,team_20,team_05,0,7,0.443,0.654,0.273,0.712,0.617,0.276,0.256,0.671,0.455,0.564
M2012086,2012-12-03,2012,team_06,team_07,1,11,0.833,0.818,0.08,-0.057,0.603,0.69,0.107,0.808,0.437,0.29
M2012086,2012-12-03,2012,team_07,team_06,0,1,0.564,0.74,0.187,0.781,0.59,0.917,-0.19,0.385,0.462,0.68
M2012087,2012-12-06,2012,team_06,team_08,1,1,0.74,0.955,0.24,-0.01,0.576,0.675,0.392,0.535,0.139,0.325
M2012087,2012-12-06,2012,team_08,team_06,0,5,0.26,0.7,0.283,0.243,-0.169,0.671,0.377,0.324,0.471,0.053
M2012088,2012-12-06,2012,team_06,team_09,1,1,0.899,0.717,0.107,0.083,0.485,0.67,0.554,0.424,0.312,0.474
M2012088,2012-12-06,2012,team_09,team_06,0,7,0.783,0.546,0.695,0.338,0.635,0.706,0.189,0.649,0.646,0.506
M2012089,2012-12-11,2012,team_06,team_10,1,1,0.914,0.782,0.153,-0.038,0.684,0.465,0.201,0.295,0.398,0.466
M2012089,2012-12-11,2012,team_10,team_06,0,11,0.295,0.626,0.585,0.566,0.372,-0.06,0.341,0.713,0.105,0.472
M2012090,2012-12-13,2012,team_06,team_11,1,2,0.761,0.834,0.139,0.081,0.425,0.398,0.366,0.273,0.216,0.464
M2012090,2012-12-13,2012,team_11,team_06,0,2,0.698,0.585,0.741,0.746,0.536,0.689,0.069,0.224,0.671,0.792
M2012091,2012-12-13,2012,team_06,team_12,1,2,0.745,0.866,0.206,0.014,0.7,0.651,0.739,0.377,0.308,0.469
M2012091,2012-12-13,2012,team_12,team_06,0,13,0.347,0.479,0.436,0.361,0.651,0.25,0.245,0.429,0.725,0.552
M2012092,2012-12-15,2012,team_06,team_13,1,1,0.748,0.775,0.308,0.116,0.507,0.718,0.179,0.368,0.354,0.396
M2012092,2012-12-15,2012,team_13,team_06,0,12,0.667,0.427,0.624,0.447,0.561,0.733,0.612,0.55,0.602,0.8
M2012093,2012-12-16,2012,team_06,team_14,1,2,0.835,0.828,0.096,0.056,0.693,0.72,0.332,0.179,0.092,0.372
M2012093,2012-12-16,2012,team_14,team_06,0,3,0.857,0.381,0.134,0.741,0.311,0.87,0.183,0.399,0.601,0.732
M2012094,2012-12-17,2012,team_06,team_15,1,3,0.548,0.711,0.16,-0.064,0.55,0.678,0.434,0.373,0.214,0.189
M2012094,2012-12-17,2012,team_15,team_06,0,1,0.138,0.453,0.725,0.625,0.233,0.884,0.484,0.544,0.698,0.779
M2012095,2012-12-19,2012,team_06,team_16,1,7,0.799,0.728,0.254,0.23,0.46,0.615,0.468,0.521,0.055,0.275
M2012095,2012-12-19,2012,team_16,team_06,0,8,0.726,0.28,0.833,0.483,0.415,0.642,0.151,0.793,0.197,0.772
M2012096,2012-12-27,2012,team_06,team_17,1,4,0.844,0.78,0.307,0.273,0.632,0.521,0.236,0.366,0.387,0.314
M2012096,2012-12-27,2012,team_17,team_06,0,2,0.718,0.287,0.434,0.656,0.465,0.196,0.236,0.44,0.565,1.084
M2012097,2012-12-28,2012,team_06,team_18,1,2,0.763,0.885,0.22,0.116,0.622,0.414,0.49,0.175,0.483,0.533
M2012097,2012-12-28,2012,team_18,team_06,0,9,0.348,0.501,0.517,0.688,0.459,0.45,0.188,0.704,0.336,0.129
M2012098,2012-12-31,2012,team_06,team_19,1,5,0.814,0.861,0.301,0.208,0.642,0.468,0.332,0.358,0.329,0.361
M2012098,2012-12-31,2012,team_19,team_06,0,7,0.304,0.274,0.53,0.4,0.168,0.275,0.291,0.249,0.333,0.75
M2012099,2012-12-31,2012,team_06,team_20,1,5,0.716,0.829,0.193,0.131,0.48,0.66,0.301,0.682,0.354,0.399
M2012099,2012-12-31,2012,team_20,team_06,0,6,0.493,0.623,0.316,0.418,0.463,0.337,0.21,0.3,0.204,0.719
M2012100,2013-01-02,2012,team_07,team_08,1,13,0.695,0.443,0.356,0.74,0.329,0.882,0.119,0.71,-0.053,0.699
M2012100,2013-01-02,2012,team_08,team_07,0,4,0.365,0.575,0.541,0.284,-0.138,0.493,0.424,0.353,0.794,0.182
M2012101,2013-01-04,2012,team_07,team_09,1,11,0.635,0.325,0.38,0.778,0.317,1.19,0.422,0.621,0.054,0.798
M2012101,2013-01-04,2012,team_09,team_07,0,13,0.726,0.453,0.598,0.554,0.698,0.899,0.303,0.717,0.588,0.409
M2012102,2013-01-06,2012,team_07,team_10,1,7,0.743,0.406,0.197,0.709,0.52,0.664,0.147,0.623,0.508,0.66
M2012102,2013-01-06,2012,team_10,team_07,0,6,0.598,0.667,0.632,0.592,0.276,0.016,0.19,0.473,0.219,0.597
M2012103,2013-01-08,2012,team_07,team_11,1,22,0.589,0.284,0.366,0.643,0.464,0.832,-0.011,0.864,0.198,0.624
M2012103,2013-01-08,2012,team_11,team_07,0,2,0.966,0.453,0.803,0.784,0.638,0.283,0.389,0.486,0.744,0.622
